Code,Airport Name
DCF,Dominica Dominica - Cane Field
DCM,Castres France
DDC,Dodge City KS
DDI,Daydream Is Australia
DDM,Dodoima Papua New Guinea
DEA,Dera Ghazi Pakistan
DEC,Decatur IL
DEL,Delhi India
DEM,Dembidollo Ethiopia
DEN,Denver CO - International
DER,Derim Papua New Guinea
DEZ,Deirezzor Syria - Al Jafrah
DFW,Dallas TX - Dallas/Ft Worth Intl.
DFW,Fort Worth/Dallas TX
DGA,Dangriga Belize
DGE,Mudgee Australia
DGO,Durango Mexico
DGT,Dumaguete Philippines
DHN,Dothan AL
DIB,Dibrugarn India
DIE,Antsiranana Madagascar
DIJ,Dijon France
DIK,Dickinson ND
DIL,Dili Indonesia
DIN,Dien Bien Phu Viet Nam - Gialam
DIR,Dire Dawa Ethiopia
DIU,Div India
DIY,Diyarbakir Turkey
DJB,Jambi. Indonesia
DJE,Djerba Tunisia
DJG,Djanet Algeria
DJJ,Jayapura Indonesia
DJN,Delta Junction AK
DKI,Dunk Island Australia
DKR,Dakar Senegal
DLA,Dovala Cameroon
DLC,Dalian China
DLG,Dillingham AK
DLH,Duluth MN
DLI,Dalat Viet Nam - Lienkhang
DLM,Dalaman Turkey
DLU,Dali City China
DLY,Dillons Bay Vanuata
DMD,Doomadgee Australia
DME,Moscow Russia - Domodedovo
DMM,Dammam Saudi Arabia
DMU,Dimapur India
DND,Dundee United Kingdom
DNH,Dunhuang China
DNK,Dnepropetrovsk Ukraine
DNM,Denham Australia
DNR,Dinard France
DNZ,Denizli Turkey
DOB,Dobo Indonesia
DOD,Dodoma Tanzania
DOG,Dongola Sudan
DOH,Doha Qatar
DOK,Donetsk Ukraine
DOL,Deauville France
DOM,Dominica Dominica - Melville Hall
DOU,Dourados Brazil
DPL,Dipolog Philippines
DPO,Devonport Australia
DPS,Denpasar Bali Indonesia
DRB,Derby Australia
DRG,Deering AK
DRH,Dabra Indonesia
DRO,Durango CO
DRS,Dresden Germany
DRT,Del Reo TX
DRW,Darwin Northern Territory Australia
DSE,Dessie Ethiopia
DSK,Dera Ismail Khan Pakistan
DSM,Des Moines IA
DTD,Datadawai Indonesia
DTM,Dortmund Germany
DTT,Detroit MI - All airports
DTW,Detroit MI - Metro/Wayne County
DUB,Dublin Ireland
DUD,Dunedin New Zealand
DUJ,Dubois PA
DUM,Dumai Indonesia
DUQ,Duncan/Quam BC
DUR,Durban South Africa
DUS,Dusseldorf Germany - International
DUT,Dutch Harbor AK
DVL,Devil's Lake ND
DVO,Davao Philipines - Mati
DWB,Soalala Madagascar
DXB,Dubai United Arab Emirates - International
DYG,Dayang China
DYR,Anadyr Russia
DYU,Dushanbe Tajikistan
DZA,Dzaoudzi Mayotte
EAE,Emae Vanuata
EAM,Nejran Saudi Arabia
EAR,Kearney NE
EAS,San Sebastian Spain
EAT,Wenatchee WA
EAU,Eau Claire WI
EBA,Elba Island Italy
EBB,Entebbe Uganda
EBD,El Obeid Sudan
EBJ,Esbjerg Denmark - Esbjerg Airport
EBO,Ebon Marshall Islands
EBU,St. Etienne France
ECN,Ercan Cyprus
EDA,Edna Bay AK
EDI,Edinburgh United Kingdom
EDL,Eldoret Kenya
EDO,Edremit Turkey
EDR,Edward River Australia
EEK,Eek AK
EEN,Keene NH
EFL,Kefallinia Greece
EGC,Bergerac France
EGE,Vail CO - Eagle County Airport
EGL,Neghelli Ethiopia
EGM,Sege Solomon Islands
EGN,Geneina Sudan
EGO,Belgorod Russia
EGS,Egilsstadir Iceland
EHL,El Bolsan Argentina
EHM,Cape Newenham AK
EIB,Eisenach Germany
EIN,Eindhoven Netherlands
EIS,Beef Island British Virgin Islands
EJA,Barran Cabermeja Colombia
EJH,Wedjh Saudi Arabia
EKO,Elko NV
ELC,Elcho Island Australia
ELD,El Dorado AR
ELE,El Real Panama
ELF,El Fasher Sudan
ELH,Eleuthera Island Bahamas
ELH,North Eleuthera Bahamas
ELI,Elim AK
ELM,Elmira NY
ELP,El Paso TX
ELQ,Gassim Saudi Arabia
ELS,East London South Africa
ELU,El Oved Algeria
ELV,Elfin Cove AK
EMA,Nottingham United Kingdom
EMD,Emerald Australia
EMK,Emmonak AK
EMN,Nema Mauritania
EMO,Emo Papua New Guinea
EMS,Embessa Papua New Guinea
EMX,El Maiten Argentina
ENA,Kenai AK
ENE,Ende Indonesia
ENF,Enontekio Finland
ENH,Enshi China
ENT,Enewetak Island Marshall Islands
ENU,Enugu Nigeria
ENY,Yan'an China
EOH,Medellin Colombia - Enrique Olaya Herrera
EOI,Eday United Kingdom
EPL,Epinal France
EPR,Esperance Australia
EPS,El Portillo/Samana Dominician Republic - El Portillo
EQS,Esquel Argentina
ERC,Erzincan Turkey
ERF,Erfurt Germany
ERI,Erie PA
ERZ,Erzurum Turkey
ESB,Ankara Turkey - Esenboga
ESC,Escanaba MI
ESL,Elista Russia
ESM,Esmeraldas Ecuador
ESR,El Salvador Chile
ETH,Elat Italy
ETZ,Metz/Nancy France
EUE,Eureka NV
EUG,Eugene OR
EUN,Laayoune Morocco
EUX,St. Eustatius Netherlands Antilles
EVE,Harstad-Narvik Norway
EVG,Sveg Sweden
EVN,Yerevan Armenia
EVV,Evansville IN
EWE,Ewer Indonesia
EWI,Enarotali Indonesia
EWR,Newark NJ
EXM,Exmouth Gulf Australia
EXT,Eveter United Kingdom
EYL,Yelimane Mali
EYP,El Yopal Colombia
EYW,Key West FL
EZE,Buenos Aires Argentina - Ministro Pistarini
EZS,Elazig Turkey
FAE,Faroe Islands Faroe Islands
FAI,Fairbanks AK
FAJ,Fajard Puerto Rico
FAO,Faro Portugal
FAR,Fargo ND
FAT,Fresno CA
FAV,Fakarava French Polynesia
FAY,Fayetteville NC
FBM,Lumbashi Congo
FCO,Rome Italy - Leonardo Da Vinci/Fiumicino
FDE,Forde Norway
FDF,Fort De France Martinique
FDH,Friedrichshafer Germany
FEG,Fergana Uzbekistan
FEN,Fernando De Noronha Brazil
FEZ,Fez Morocco
FGI,Apia Western Samoa
FIE,Fair Isle United Kingdom
FIH,Kinshasa Congo
FIZ,Fitzroy Crossing Australia
FJR,Al-Fujairah United Arab Emirates
FKB,Karlsruhe/Badern Baden Germany
FKL,Franklin PA
FKQ,Fak Fak Indonesia
FKS,Fukushima Japan
FLA,Florencia Colombia
FLF,Flensburg Germany
FLG,Flagstaff AZ
FLL,Fort Lauderdale FL
FLN,Florianopolis Brazil
FLO,Florence SC
FLR,Florence Italy - Peretola
FLW,Flores Island Portugal
FMA,Formosa Argentina
FMN,Farmington NM
FMO,Muenster Germany
FNA,Freetown Sierra Leone - Lungi Intl
FNC,Funchal Portugal
FNI,Nimes France
FNJ,Pyongyang North Korea
FNL,Fort Collins/Loveland CO - Municipal Airport
FNL,Loveland/Fort Collins CO - Municipal Airport
FNT,Flint MI
FOC,Fuzhou China
FOD,Fort Dodge IA
FOE,Topeka KS
FOG,Foggia Italy
FOR,Fortaleza Brazil
FPO,Freeport Bahamas
FRA,Frankfurt Germany - International
FRC,Franca Brazil
FRE,Fera Island Solomon Islands
FRO,Floro Norway
FRS,Flores Guatemala
FRU,Bishkek Kyrgyzstan
FRW,Francistown Botswana
FSC,Figari France
FSD,Sioux Falls SD
FSM,Fort Smith AR
FSP,St Pierre St Pierre and Miquelon
FTA,Futuna Island Vanuatu
FTU,Fort Dauphin Madagascar
FUE,Fuerteventura Spain
FUE,Puerto del Rosario Spain
FUG,Fuyang China
FUJ,Fukue Japan
FUK,Fukuoka Japan
FUN,Funafuti Atol Tuvalu
FUT,Futuna Island Wallis and Futuna Islands
FWA,Fort Wayne IN
FYR,Skopie Macedonia
FYV,Fayetteville AR - Municipal/Drake
FZO,Filton United Kingdom
GAF,Gafsa Tunisia
GAJ,Yamagata Japan
GAN,Gan Island Maldives
GAO,Guantanamo Cuba
